[INFO] [1781274706.685055234] [run_mvp_task]: ===== MVP TASK START =====
[INFO] [1781274706.688177399] [run_mvp_task]: instruction: find the red backpack
[INFO] [1781274706.691484190] [run_mvp_task]: backend: yolo_world
[INFO] [1781274706.695763605] [run_mvp_task]: det_topic: /hobot_yolo_world
[INFO] [1781274706.699311354] [run_mvp_task]: target_words_topic: /target_words
[INFO] [1781274706.707751976] [run_mvp_task]: yolo_prompts: ['backpack', 'handbag', 'suitcase']
[INFO] [1781274706.718740514] [run_mvp_task]: target_classes: ['backpack', 'handbag', 'suitcase']
[INFO] [1781274706.724611387] [run_mvp_task]: min_score: 0.002
[INFO] [1781274706.734873092] [run_mvp_task]: min_red_ratio: 0.06
[INFO] [1781274706.740904924] [run_mvp_task]: max_area_ratio: 0.15
[INFO] [1781274706.746594797] [run_mvp_task]: require_red_verify: True
[INFO] [1781274706.754413086] [run_mvp_task]: stamp_sync max_delta=0.12s buffer=60
[INFO] [1781274706.762952583] [run_mvp_task]: save_bbox_dir=/root/rdk_x5_vln_robot/check_bbox interval=15
[INFO] [1781274706.768003290] [run_mvp_task]: Mock Qwen output:
[INFO] [1781274706.777103912] [run_mvp_task]: {"timestamp": 1781274706.2371507, "instruction": "find the red backpack", "target_category": "backpack", "target_description": "red backpack", "possible_yolo_world_prompts": ["backpack", "handbag", "suitcase"], "target_classes": ["backpack", "handbag", "suitcase"], "target_visible": null, "semantic_region": null, "search_direction": null, "confidence": 0.9, "need_replan": false, "action_hint": "approach_slowly", "reason": "Mock Qwen output for red backpack MVP semantic-to-vision bridge."}
[INFO] [1781274706.837851433] [run_mvp_task]: frame=1 fsm=PARSE_TASK servo=LOST_STOP action=SERVO_CMD target=LOST reason=no_det_msg
[WARN] [1781274706.888597417] [run_mvp_task]: stamp sync skip: no frame for det stamp, delta 1.596s > 0.12s (frame_buf=2)
[INFO] [1781274706.898905913] [run_mvp_task]: frame=2 fsm=OBSERVE servo=LOST_STOP action=SERVO_CMD target=LOST reason=stamp_sync_failed
[INFO] [1781274706.959983435] [run_mvp_task]: frame=3 fsm=OBSERVE servo=LOST_STOP action=SERVO_CMD target=LOST reason=stamp_sync_failed
[INFO] [1781274707.009186585] [run_mvp_task]: frame=4 fsm=OBSERVE servo=LOST_STOP action=SERVO_CMD target=LOST reason=stamp_sync_failed
[INFO] [1781274707.045570073] [run_mvp_task]: frame=5 fsm=OBSERVE servo=LOST_STOP action=SERVO_CMD target=LOST reason=stamp_sync_failed
[INFO] [1781274707.071586440] [run_mvp_task]: frame=6 fsm=OBSERVE servo=LOST_STOP action=SERVO_CMD target=LOST reason=stamp_sync_failed
[INFO] [1781274707.092461641] [run_mvp_task]: frame=7 fsm=OBSERVE servo=LOST_STOP action=SERVO_CMD target=LOST reason=stamp_sync_failed
[INFO] [1781274707.124673672] [run_mvp_task]: frame=8 fsm=OBSERVE servo=LOST_STOP action=SERVO_CMD target=LOST reason=stamp_sync_failed
[INFO] [1781274707.170620324] [run_mvp_task]: frame=9 fsm=OBSERVE servo=LOST_STOP action=SERVO_CMD target=LOST reason=stamp_sync_failed
[INFO] [1781274707.206154978] [run_mvp_task]: frame=10 fsm=RECOVERY_SCAN servo=LOST_STOP action=RECOVERY_SCAN_CMD target=LOST reason=stamp_sync_failed
[INFO] [1781274707.257762503] [run_mvp_task]: frame=11 fsm=RECOVERY_SCAN servo=LOST_STOP action=RECOVERY_SCAN_CMD target=LOST reason=stamp_sync_failed
